Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","TS3425PA","","B1, B2","","Not managed","","2","","","","","","",""
"","GRM155R71C104KA88J","","C1","","Unknown server","","1","Murata","GRM155R71C104KA88J","Not Recommended for New Design","","","",""
"","C0402C104K3RACTU","Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0402 125C T/R","C2, C4, C5, C9, C11, C12, C13, C15, C16","","Unknown server","","9","KEMET","C0402C104K3RACTU","","","","",""
"","CL10A106MA8NRNC","Cap Ceramic 10uF 25V X5R ±20% Pad SMD 0603 +85°C T/R","C3, C6, C7, C8","","Unknown server","","4","Samsung","CL10A106MA8NRNC","Volume Production","","","",""
"","Capacitor","CL10 Series 0603 10 uF 16 V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor","C10, C14","","Not managed","","2","","","","","","",""
"","SFH 2704","SENSOR PHOTODIODE 900NM 2SMD","D1","","Unknown server","","1","Osram Opto","SFH 2704","Volume Production","","","",""
"","SFH 2716 A01","Silicon PIN Photodiode with V? Characteristics, -40 to 100 °C, 1.3 x 2 x 0.8 mm","D2, D6","","Not managed","","2","Osram Opto","SFH 2716 A01","Volume Production","Digikey","475-SFH2716A01DKR-ND","",""
"","SFH 2400 FA","","D3","","Not managed","","1","","","","","","",""
"","LS R976-NR-1","LED RED DIFFUSED 0805 SMD","D4","","Unknown server","","1","Osram Opto","LSR976-NR-1","Volume Production","","","",""
"","150141GS73100","","D9","","Unknown server","","1","Wurth Electronics","150141GS73100","Volume Production","","","",""
"","LTST-S270KRKT","LED RED CLEAR CHIP SMD R/A","D12, D13","","Unknown server","","2","Vishay Lite-On","LTST-S270KRKT","Volume Production","","","",""
"","LTST-S220KGKT","LED Green, 75 mW, 30 mA, -30 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","DS1","","Unknown server","","1","Vishay Lite-On","LTST-S220KGKT","Volume Production","","","",""
"","ZF5S-15-01-T-WT","FFC & FPC Connectors Zero Insertion Force Connector for FFC, 0.50 mm (.0197) Pitch","J1","","Not managed","","1","Samtec","ZF5S-15-01-T-WT","Volume Production","Digikey","SAM10388-ND","",""
"","SWPA6028S100MT","6.0x6.0x2.8 10uH ±20% DCR=94m? 1.95A SRF=23MHz ??:??","L1","","Not managed","","1","Sunlord","SWPA6028S100MT","","Digikey","3442-SWPA6028S100MTDKR-ND","",""
"","RC1206FR-07100KL","Chip Resistor, 100 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel","R1","","Unknown server","","1","Yageo","RC1206FR-07100KL","Not Recommended for New Design","","","",""
"","AC0402FR-07160KL","RES 160kO ±1% 0.063W 0402","R2","","Unknown server","","1","Yageo","AC0402FR-07160KL","Not Recommended for New Design","","","",""
"","RK73H1ETTP1001F","","R4, R5","","Unknown server","","2","KOA Speer","RK73H1ETTP1001F","Volume Production","","","",""
"","STM32WB5MMGH6TR","RISC Microcontroller, 32-Bit, FLASH, CORTEX-M4F CPU, 180MHz, CMOS, PBGA216","U1","","Not managed","","1","STMicroelectronics","STM32WB5MMGH6TR","","Digikey","497-STM32WB5MMGH6CT-ND","",""
"","ADPD1080WBCPZR7","Optical Afe For Health Monitorin","U2","","Not managed","","1","Analog Devices","ADPD1080WBCPZR7","Volume Production","Digikey","505-ADPD1080WBCPZR7CT-ND","",""
"","MAX1722EZK+T","IC REG BOOST ADJ 400MA TSOT23-5","U3","","Unknown server","","1","Maxim","MAX1722EZK+T","Volume Production","","","",""
"","LSM6DSLTR","IMU ACCEL/GYRO I2C/SPI 14LGA","U4","","Unknown server","","1","STMicroelectronics","LSM6DSLTR","Volume Production","","","",""
"","LK112SM18TR","200mA, Low Noise Low Drop Voltage Regulator with Shutdown Function, 1.8V, 5-Pin SOT23-5L, Tape and Reel","U5, U6","","Unknown server","","2","STMicroelectronics","LK112SM18TR","Volume Production","","","",""
"","STTS22HTR","LOW-VOLTAGE, ULTRA-LOW-POWER, 0.","U7","","Unknown server","","1","STMicroelectronics","STTS22HTR","","","","",""
